entidad,formatos,municipio,region
 Durango,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Durango/702825299378_s.zip,Canatlán,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272166_s.zip,}Calvillo,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272142_s.zip,Aguascalientes,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272159_s.zip,Asientos,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272173_s.zip,Cosío,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272234_s.zip,El Llano,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272180_s.zip,Jesús María,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272197_s.zip,Pabellón de Arteaga,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272203_s.zip,Rincón de Romos,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272241_s.zip,San Francisco de los Romo,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272210_s.zip,San José de Gracia,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Aguascalientes/702825272227_s.zip,Tepezalá,Rurales
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296704_s.zip,Aguascalientes,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296711_s.zip,Asientos,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296728_s.zip,Calvillo,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296735_s.zip,Cosío,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296797_s.zip,El Llano,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296742_s.zip,Jesús María,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296759_s.zip,Pabellón de Arteaga,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296766_s.zip,Rincón de Romos,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296803_s.zip,San Francisco de los Romo,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296773_s.zip,San José de Gracia,Urbanas
 Aguascalientes,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Aguascalientes/702825296780_s.zip,Tepezalá,Urbanas
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California/702825272258_s.zip,Ensenada,Rurales
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California/702825272265_s.zip,Mexicali,Rurales
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California/702825272296_s.zip,Playas de Rosarito,Rurales
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California/702825272272_s.zip,Tecate,Rurales
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California/702825272289_s.zip,Tijuana,Rurales
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California/702825296810_s.zip,Ensenada,Urbanas
